temperature,humidity,cloudiness,wind_speed,latitude,longitude
5.0,77,100,7.0,53.02,39.17
9.15,81,90,5.1,39.36,-74.42
-24.15,69,40,1.0,63.75,-68.51
10.8,87,99,3.6,-53.15,-70.92
20.0,64,14,5.7,-32.25,148.62
14.72,98,100,1.5,-37.62,-73.65
23.2,78,0,1.34,-8.93,125.41
7.21,77,78,0.53,43.06,44.74
17.69,46,19,8.07,-33.65,115.33
-17.37,95,100,1.34,58.96,126.29
28.0,83,75,4.6,-21.2,-175.2
0.47,98,100,8.26,65.97,78.37
23.89,83,50,1.79,8.0,124.29
17.22,68,15,1.34,-46.6,168.33
11.4,50,90,3.6,42.1,-79.24
21.04,94,28,2.53,-17.73,-49.1
5.0,80,45,2.1,39.65,66.96
24.8,88,100,6.2,-21.36,55.77
23.01,88,90,5.1,22.08,-159.32
12.0,76,75,0.71,-54.8,-68.3
7.27,49,90,6.2,42.6,-73.97
-27.14,92,100,2.03,72.79,-56.15
3.0,69,90,4.0,56.8,59.93
15.11,32,9,6.23,18.69,12.92
15.0,87,40,5.53,38.73,-27.07
25.19,78,40,4.1,18.22,-63.06
25.33,39,33,5.1,-34.2,142.15
21.27,56,52,2.31,17.67,-100.0
27.55,64,28,0.69,-5.23,-75.68
25.44,77,2,8.0,-23.12,-134.97
-33.0,74,20,3.1,69.45,-133.04
16.32,100,75,1.0,-33.93,18.42
-30.0,74,75,2.1,70.47,-68.59
-7.4,40,40,2.1,61.58,-149.44
2.91,48,100,0.26,37.48,47.05
18.99,96,87,0.92,-34.0,24.73
26.44,74,22,4.92,12.48,123.38
6.97,48,90,2.1,42.16,-72.33
28.38,77,24,3.96,3.07,172.79
23.0,69,20,1.5,17.02,54.09
17.22,68,16,1.34,-46.19,168.86
17.76,72,90,3.6,-42.88,147.33
28.77,68,67,4.59,6.62,73.07
-0.3,94,100,5.74,57.02,82.07
26.0,94,26,3.6,-21.21,-159.78
-5.05,95,100,1.62,68.05,39.51
-13.26,64,84,5.84,65.82,87.98
27.28,61,40,5.7,22.89,-109.91
-7.0,57,0,3.1,60.92,-46.05
12.13,35,1,4.1,45.52,-122.68
29.0,83,40,4.1,-12.23,136.77
26.28,94,75,5.19,-20.34,57.76
6.84,75,90,3.1,41.37,-73.41
-32.26,95,72,2.82,70.63,147.92
25.07,39,66,3.02,3.52,39.06
27.28,69,43,2.39,4.14,96.13
22.76,47,0,3.9,-35.93,173.88
1.0,47,1,6.2,57.79,-152.41
21.26,88,23,5.1,-38.0,-57.56
20.0,28,15,6.2,26.33,43.98
5.0,75,40,5.1,49.02,1.15
18.0,88,0,3.6,-26.65,15.16
21.87,49,0,0.42,25.75,86.03
-12.02,79,100,2.61,65.42,-52.9
-5.49,75,0,3.66,60.14,-45.24
-2.1,87,100,15.39,45.41,141.67
23.12,93,26,0.83,-5.32,-41.55
-12.0,85,90,10.3,71.29,-156.79
25.83,92,75,2.13,5.52,5.75
-6.79,89,87,5.36,55.36,78.36
-33.65,85,12,3.77,71.97,102.5
32.92,29,7,4.8,-27.8,-64.26
-17.24,76,92,4.21,59.38,143.3
18.84,63,1,5.7,37.2,-94.35
19.09,58,28,2.35,9.32,41.45
22.23,76,39,3.93,-10.18,-40.97
19.04,72,100,1.0,25.29,51.53
13.34,91,100,2.36,29.05,-109.23
-28.71,78,0,0.77,69.3,139.9
25.0,100,50,6.7,-28.24,-48.67
19.14,68,20,4.1,37.22,-93.3
-14.01,80,4,2.99,61.99,-49.67
1.0,19,0,2.1,30.28,57.08
22.44,80,100,5.68,-33.59,26.89
24.0,88,40,2.6,-22.97,-42.03
28.94,58,0,4.6,-29.95,-51.09
16.0,87,75,3.6,-41.87,-73.82
25.56,84,0,6.56,6.12,81.12
31.0,66,75,2.6,-17.73,-149.15
25.0,73,40,4.1,21.46,-71.14
23.78,65,40,5.7,20.89,-156.47
-28.87,44,0,2.35,77.48,-69.36
4.23,90,12,4.5,51.18,49.68
26.08,8,0,4.84,14.46,-4.92
26.0,78,90,2.6,-24.87,113.63
-29.19,87,87,1.41,71.69,128.87
-10.0,61,90,7.2,55.74,-97.86
12.0,16,28,2.1,33.6,56.92
22.0,53,6,4.6,20.93,-17.03
17.65,87,100,7.64,-38.27,141.97
-0.01,98,100,2.0,65.85,44.24
28.17,66,75,5.1,-0.74,-90.35
15.0,87,75,4.1,37.72,-25.43
25.16,54,1,8.2,19.73,-155.09
22.1,76,8,2.18,18.65,79.67
27.55,78,77,3.56,-1.2,-46.02
27.86,74,57,3.65,-9.8,-139.03
19.42,67,33,2.7,-24.79,-50.01
21.81,92,50,3.61,-33.7,-53.46
17.0,88,40,5.1,-29.95,-71.34
28.56,70,61,4.66,-16.48,-151.75
15.25,72,100,2.6,38.3,-5.27
29.29,49,23,6.15,8.89,-64.25
26.27,94,75,3.09,-20.52,57.52
29.0,66,40,5.1,12.58,-81.7
-5.3,75,78,4.11,50.68,156.12
1.84,96,100,11.56,63.05,179.32
-14.0,95,100,3.36,69.7,170.31
4.57,64,40,10.3,54.79,18.4
2.46,92,99,4.46,60.87,60.42
-4.36,88,100,8.64,60.47,166.1
-13.74,65,75,1.32,64.84,-147.72
16.0,44,27,12.9,24.09,32.91
1.43,94,100,6.79,59.06,80.86
11.0,76,75,1.0,27.63,85.52
34.0,38,20,2.1,2.82,-60.67
24.62,65,20,6.2,33.67,-95.58
20.26,28,100,4.13,34.93,43.49
6.48,65,40,8.2,51.38,1.39
23.69,63,0,2.15,14.9,-24.5
16.65,87,90,1.5,34.64,-120.46
20.03,37,1,2.19,37.1,-113.58
16.93,57,41,3.52,9.35,42.8
17.72,72,90,3.6,-42.78,147.06
23.93,82,51,2.6,-15.2,12.15
19.0,59,100,1.0,31.56,48.18
15.0,87,75,4.1,37.73,-25.67
-11.68,80,98,7.13,48.6,133.82
27.0,94,20,1.0,-8.19,114.97
23.3,64,16,1.65,-10.07,-78.15
15.51,17,0,2.35,25.75,71.38
19.0,100,75,2.1,-33.92,25.57
9.43,73,90,2.6,43.21,-75.46
-5.55,92,90,12.9,71.04,27.85
20.65,88,20,5.1,22.29,114.16
19.19,18,20,6.39,20.2,1.01
30.0,62,60,1.0,-22.28,166.46
-28.0,68,90,7.0,66.42,112.4
10.52,73,0,4.59,44.82,33.6
1.07,93,59,4.46,54.67,51.5
4.97,93,75,1.0,46.62,10.7
13.0,87,75,1.5,-45.58,-72.07
15.63,62,1,8.7,40.6,-124.16
18.0,93,4,1.5,-34.53,20.04
-2.46,92,90,3.1,47.67,-52.73
-18.62,64,100,14.6,73.51,80.55
0.0,97,90,16.0,64.38,-173.3
-10.0,66,8,8.7,65.61,-37.64
14.73,82,90,2.6,39.96,-83.0
24.64,21,1,4.6,38.42,-121.42
-5.0,57,20,2.0,51.9,113.16
28.41,69,19,4.92,-0.6,73.08
8.93,81,75,2.1,35.73,140.83
16.0,63,100,1.0,36.75,3.04
13.41,94,100,2.39,26.59,111.85
28.24,73,28,4.57,5.67,73.0
26.0,39,0,0.5,-23.7,133.88
-3.95,79,75,6.2,64.5,-165.41
25.66,89,100,0.92,-6.53,-64.38
22.48,51,0,0.38,24.92,86.22
7.19,98,100,1.93,44.67,3.5
-14.87,88,100,3.14,68.31,-53.46
26.17,48,75,2.6,-23.07,-44.96
4.75,80,64,4.1,57.48,-4.22
26.47,66,57,2.96,17.96,-102.2
6.15,65,100,9.1,55.34,36.17
22.23,71,15,3.73,11.47,49.87
15.56,93,1,2.65,-34.42,19.23
16.08,49,100,8.52,28.38,-107.22
23.2,65,27,2.68,-38.55,-58.74
22.94,98,61,1.17,-16.84,36.99
11.26,87,40,1.0,43.01,11.17
-3.07,91,81,5.42,56.89,74.37
25.56,83,75,3.1,-22.88,-43.1
25.8,85,52,1.08,-6.88,112.21
24.0,83,75,4.1,13.22,-59.52
-7.0,57,0,3.1,60.72,-46.03
28.06,74,4,7.02,-9.01,-35.22
21.64,78,90,2.6,-28.77,114.6
20.27,95,38,2.01,-0.95,100.35
30.15,62,40,4.61,15.74,-96.47
18.77,59,8,0.76,23.63,94.42
26.46,83,20,2.1,5.41,100.34
15.24,70,0,4.59,39.05,-27.98
21.93,27,100,5.83,33.64,42.83
17.0,77,97,6.46,-45.87,-67.5
26.92,77,100,3.03,-17.71,-39.25
19.35,70,1,5.2,-43.3,-65.1
26.15,78,11,7.69,5.95,-56.98
18.54,98,100,1.15,0.38,32.92
-21.06,63,90,7.7,62.46,-114.35
18.99,82,12,1.17,-33.48,150.15
28.13,75,61,6.75,7.99,117.06
23.12,94,77,0.62,-5.36,104.97
2.55,38,0,7.58,41.59,-109.2
24.83,54,1,3.6,32.35,-85.2
-11.05,80,16,1.28,53.47,85.91
-2.22,25,0,1.07,42.8,93.45
9.89,61,0,1.67,31.45,12.98
26.29,75,21,8.18,5.38,-52.95
0.0,96,90,1.5,63.08,27.67
-15.0,84,33,4.0,49.63,72.85
24.5,73,0,2.6,-34.43,-58.58
19.03,64,11,1.17,-26.78,-51.02
-19.77,94,100,8.0,71.92,114.08
27.07,77,92,3.42,-22.67,167.48
-27.53,90,29,0.71,62.22,135.8
-1.06,94,100,3.83,58.45,92.17
6.0,75,40,1.21,39.03,43.36
29.0,83,100,1.0,-5.81,-61.3
21.62,68,40,4.1,-32.72,152.15
18.25,96,14,1.26,-16.03,35.5
23.8,89,39,7.52,-5.56,-80.82
-3.0,58,75,9.3,51.47,-109.17
21.95,88,97,0.86,-0.89,119.87
28.01,82,50,6.32,-20.23,164.02
-1.44,84,100,1.63,39.0,41.75
28.0,69,5,5.6,15.0,-83.23
0.72,51,20,2.6,57.05,-135.33
0.89,98,100,8.63,65.7,82.47
24.0,94,75,1.0,-5.2,-35.46
27.67,81,100,9.7,-14.9,50.28
28.7,8,74,4.33,9.61,6.56
16.0,93,75,1.5,-33.87,121.9
29.0,48,0,4.1,-20.73,139.5
15.74,72,40,7.2,32.67,-17.1
1.0,47,40,2.1,54.78,-127.17
-10.69,78,0,3.31,53.23,78.98
-2.22,87,98,2.24,48.65,-53.11
-4.93,18,0,4.53,42.12,118.78
-0.61,89,98,6.91,56.65,66.3
-18.0,54,75,6.7,65.28,-126.83
16.93,36,75,1.5,35.23,-106.66
5.0,80,90,11.8,57.22,21.67
23.49,62,49,10.52,-22.0,148.05
8.71,70,75,1.5,33.77,130.47
27.15,83,97,3.59,-10.45,161.92
24.0,94,40,5.1,-9.44,147.18
23.0,88,63,2.93,11.67,92.75
3.4,86,90,2.0,59.7,30.79
28.0,65,40,4.6,7.77,-72.22
6.89,70,40,5.0,46.4,48.54
27.58,81,77,5.91,0.13,117.5
22.17,88,100,0.96,22.67,106.25
24.78,82,27,7.49,-30.18,-50.21
-7.61,88,80,1.14,36.62,101.77
4.12,78,60,8.7,56.66,16.36
-14.0,71,75,1.0,69.22,-51.1
4.06,69,99,14.4,43.32,145.57
22.72,85,84,1.83,-17.64,-71.34
2.37,80,42,5.7,59.38,13.5
28.2,47,40,3.1,14.23,-90.18
23.16,81,100,4.76,-33.02,27.91
20.87,98,59,1.16,1.65,14.58
-13.7,65,75,1.53,64.86,-147.8
15.0,87,0,2.1,-33.01,17.94
-5.38,39,0,3.74,43.51,123.51
25.48,8,0,3.92,16.41,-3.67
9.66,76,64,5.1,46.43,26.4
18.51,88,1,2.1,34.23,-77.94
26.0,88,75,3.1,-7.26,-34.91
-23.0,57,75,6.2,78.22,15.64
18.56,77,54,2.1,25.26,55.3
12.58,93,75,5.7,34.14,-116.05
13.33,76,0,0.89,-30.52,151.65
18.66,99,61,1.09,-8.42,20.74
2.0,69,90,5.7,51.26,-80.61
15.3,98,100,1.37,-2.47,28.82
24.37,80,44,2.93,-23.77,-53.33
24.43,77,0,0.7,-12.12,-73.0
1.11,94,100,0.53,41.76,86.15
23.44,76,100,6.7,-0.31,32.23
21.48,98,78,1.43,0.81,24.43
27.0,83,40,1.0,-15.46,-55.75
-19.98,95,100,8.26,66.77,123.37
-5.3,92,75,12.3,70.37,31.11
16.58,50,100,4.62,37.08,41.07
15.86,67,0,5.1,-43.53,172.63
2.09,83,98,10.05,56.34,29.37
22.86,11,92,4.28,11.03,20.28
7.58,70,90,4.1,40.86,-74.16
-12.27,71,0,1.21,51.28,81.11
-26.0,75,20,1.63,66.15,-65.71
-4.63,25,0,7.42,43.65,111.98
-16.56,91,100,3.77,61.95,159.23
27.0,77,75,3.1,-19.06,-169.92
-3.68,52,0,12.05,42.73,133.08
25.0,88,75,3.1,-20.33,-40.29
23.31,91,58,1.75,-3.8,102.27
29.02,55,95,1.0,2.89,-72.13
